Name of Design,Instructions,Photo File Name
Patons_All-Around_Crochet_Blanket,"INSTRUCTIONS
Stripe Pat
With A, work 1 rnd.
With B, work 9 rnds.
With A, work 6 rnds.
These 16 rnds form Stripe Pat.
With A, ch 32.
1st rnd:  1 sc in 2nd ch from hook. 
Ch 2. Miss next 2 ch. (1 sc in next 
ch. Ch 2. Miss next 2 ch) 9 times. 
[(1 sc. Ch 2) twice. 1 sc] all in next 
ch. Working in opposite side of ch,
(Ch 2. Miss next 2 ch. 1 sc in next 
ch) 9 times. Ch 2. Miss next 2 ch.  
(1 sc. Ch 2) twice in last ch. Join 
with sl st to first sc. Break A. 2nd rnd:  Join B with sl st in 
first ch-2 sp after last  sl st. Ch 3 
(counts as dc). 3 dc in same sp as 
last sl st. Drop loop from hook. 
Insert hook in top of ch 3. Pull 
dropped loop through hook – beg 
popcorn made. *Ch 2. Miss next 
sc. 4 dc in next ch-2 sp. Drop loop 
from hook. Insert hook in first 
dc. Pull dropped loop through 
hook –popcorn made. Rep from *  
22 times more.Ch 2. Join with sl st 
to beg popcorn.Approx = 
Approximately
Beg = Beginning
Ch(s) = Chain(s)
Cont = Continue(ity)Dc = Double crochet
PM = Place marker 
Pat = Pattern
Rep = Repeat 
Rnd(s) = Round(s)Sc = Single crochet
Sl st = Slip stitch
Sp(s) = Space(s)ABBREVIATIONS
3 balls
2 balls
CROCHET  I  SKILL LEVEL: EASY
PAC0202-000019M   |  June 1 7, 2019 ALL-AROUND BLANKET | CROCHET   2 of 2ALL-AROUND BLANKET  |  CROCHET
3rd rnd:  Sl st in next ch-2 sp. 
Ch 1. 1 sc in same sp as last sl st. 
Ch 2. Miss next popcorn. *1 sc 
in next ch-2 sp. Ch 2. Miss next 
popcorn.* Rep from * to * 8 times 
more. **(1 sc. Ch 2. PM. 1 sc. 
Ch 2) in next ch-2 sp. Miss next 
popcorn.**  Rep from * to * once 
more. Rep from ** to ** once more. 
Rep from * to * 9 times more. Rep 
from ** to ** once more. Rep from 
* to * once more. Rep from ** to ** 
once more. Join with sl st to first sc.  
4th rnd:  Sl st in next ch-2 sp. Beg 
popcorn in same sp as last sl st. 
*Ch 2. Miss next sc. Popcorn in 
next ch-2 sp.* Rep from * to * 
to first marked ch-2 sp. **Ch 2. 
(Popcorn. Ch 2. PM. Popcorn) 
in marked ch-2 sp.** Rep from 
* to * to next marked ch-2 sp. 
Rep from ** to ** once more. 
Rep from * to * to next marked 
ch-2 sp. Rep from ** to ** once 
more. Rep from * to * to last marked  
ch-2 sp. Rep from ** to ** once 
more. Rep from * to * to end of rnd.  
Ch 2. Join with sl st to first popcorn.  
5th rnd:  Sl st in next ch-2 sp.  
Ch 1. 1 scin same sp as last sl st.  
Ch 2. Miss next popcorn. *1 sc in next 
ch-2 sp. Ch 2. Miss next popcorn.* Rep from * to * to first marked  
ch-2 sp. **(1 sc. Ch 2. PM. 1 sc. Ch 2) in 
next ch-2 sp. Miss next popcorn.** 
Rep from * to * to next marked  
ch-2 sp. Rep from ** to ** once more. 
Rep from * to * to next marked  
ch-2 sp. Rep from ** to ** once more. 
Rep from * to * to next marked 
ch-2 sp. Rep from ** to ** once 
more. Rep from * to * to end of rnd.  
Ch 2. Join with sl st to first sc. First 
5 rnds of Stripe Pat are complete.  
6th to 40th rnds:  Keeping cont 
of Stripe Pat, rep 4th and 5th rnds  
17 times more, then rep 4th rnd 
once. Fasten off.",Patons_All-Around_Crochet_Blanket.jpg
Lily_Fresh_Mesh_Crochet_Tote_Bag,"INSTRUCTIONS
Notes:  
• Bag Body is worked in one piece. 
• First Side is completed, then 
Second Side is worked into 
remaining (rem) loops of 
foundation chain (ch). 
• Straps are worked separately 
and sewn on.BAG BODY
First Side
Chain (Ch) 70. 
See diagram on page 2.
1st row:  (Right Side – RS).   
1 double crochet (dc) in 4th ch 
from hook – counts as 2 dc. 1 dc 
in each of next 3 ch. *Ch 2. Skip 
next 2 ch. 1 dc in each of next 
5 ch. Repeat (Rep) from * to end 
of chain. Turn. 68 stitches (sts) – 
counting each ch-2 space (sp) as 
2 sts.
**2nd row:  Ch 4 (counts as dc and 
ch 1 here and throughout). Skip 
first 2 dc. 1 dc in next dc. Ch 1. Skip 
next dc. 1 dc in next dc. *Ch 2. Skip 
next ch-2 sp. (1 dc in next dc. Ch 1. 
Skip next dc) twice. 1 dc in next dc. 
Rep from * to end of row. Turn.Approx = 
Approximately 
Beg = Beginning 
Ch = Chain(s) 
Dc = Double crochet
Hdc = Half double 
crochetPat = Pattern 
Rem = Remaining
Rep = Repeat 
Rnd(s) = Round(s) 
RS = Right side 
Sc = Single crochet 
Sl st = Slip stitch Sp(s) = Space(s)
St(s) = Stitches 
Tog = Together
WS = Wrong side 
Y oh = Yarn over hookCROCHET  I  SKILL LEVEL: BEGINNER",Lily_Fresh_Mesh_Crochet_Tote_Bag.jpg
Diamond_Wave_Crochet_Scarf,"INSTRUCTIONS
Notes:  
• To change colors, work to last 
2 loops on hook of first color. 
Draw new color through last 
2 loops and proceed with new 
color.
• Ch 3 at beg of row counts as dc.
• Scarf is worked lengthwise. With MC, ch 179. See diagram on 
page 3.
1st row:  (RS). 1 sc in 2nd ch from 
hook. 1  sc in each ch to end of 
chain.  Turn. 178 sts. 
2nd row:  Ch 1. 1 sc in first sc and 
each  sc to end of row. Join A. 
Do not break MC. Turn. 
3rd row:  With A, ch 3. Skip first st. 
1  dc in next  st. 1  hdc in next  st. 
1  sc in next  st. *Ch 2. Skip next 
2  sts. 1  sc in next  st. 1  hdc in 
next st. 1 dc in each of next 2 sts. 
1 tr in each of next 2 sts. 1 dc in 
each of next 2 sts. 1 hdc in next st. 
1 sc in next st. Rep from * to last 
6 sts. Ch 2. Skip next 2 sts. 1 sc in 
next  st. 1  hdc in next  st. 1  dc in 
each of last 2 sts. Turn.",Diamond_Wave_Crochet_Scarf.jpg
Bernat_Crochet_Ice_Cream_Cone_Rattle,"INSTRUCTIONS
CONEWith A, ch 2.1st rnd: 4 sc in 2nd ch from hook. 
Join with sl st to first sc.2nd rnd: Ch 1. 1 sc in each sc around. Join with sl st to first sc.3rd rnd: Ch 1. 2 sc in each each sc around. Join with sl st to first sc. 8 sc.4th and 5th rnds: Ch 1. 1 sc in each sc around. Join with sl st to first sc.6th rnd: Ch 1. 2 sc in first sc. 1 sc in next sc. *2 sc in next sc. 1 sc in next sc. Rep from * around. Join with sl st  to first sc. 12 sc.7th and 8th rnds: As 4th and 5th rnds.9th rnd: Ch 1. 2 sc in first sc. 1 sc in next sc. *2 sc in next sc. 1 sc in next sc. Rep from * around. Join with sl st to first sc. 18 sc.10th and 11th rnds: As 4th and 5th rnds.12th rnd: Ch 1. 2 sc in first sc. 1 sc in each of next 2 sc. *2 sc in next sc. 1 sc in each of next 2 sc. Rep from * around. Join with sl st to 
first sc. 24 sc.
13th and 14th rnds: As 4th and 5th rnds.ABBREVIATIONS: yarnspirations.com/abbreviations
Approx = Approximate(ly)
Beg = Begin(ning)Ch = Chain(s)Dc = Double crochetRem = Remain(ing)Rep = RepeatRnd(s) = Round(s)Sc = Single crochetSc2tog = Draw up a loop in each of next 2 stitches. Yoh and draw through all loops on hookSl st = Slip stitchSt(s) = Stitch(es)WS = Wrong sideY oh = Yarn over hook
SKILL LEVEL:  EASY 
| CROCHET
MEASUREMENT
INSTRUCTIONSGAUGE:
CROCHET ICE CREAM CONE RATTLE | CROCHET    2 of 2CROCHET ICE CREAM CONE RATTLE  | CROCHET
BRC0234-002364M CROCHET ICE CREAM CONE RATTLE  |  CROCHET    2 of 2CROCHET ICE CREAM CONE RATTLE  |  CROCHET
15th rnd: Ch 1. 2 sc in first sc. 1 sc 
in each of next 3 sc. *2 sc in next sc. 1 sc in each of next 3 sc. Rep from * around. Join with sl st to first sc. 30 sc.16th and 17th rnds: As 4th and 5th rnds.18th rnd: Ch 1. 2 sc in first sc. 1 sc in each of next 4 sc. *2 sc in next sc. 1 sc in each of next 4 sc. Rep from * around. Join with sl st to first sc. 36 sc.19th to 26th rnds: Ch 1. 1 sc in each sc around. Join with sl st to first sc. Fasten off at end of last rnd.Stuff Cone.
SCOOP
With B, ch 2.1st rnd: 8 sc in 2nd ch from hook. Join with sl st to first sc.2nd rnd: Ch 1. 2 sc in each sc around. Join with sl st to first sc. 16 sc.3rd rnd: Ch 1. 1 sc in each sc around. Join with sl st to first sc. 4th rnd: Ch 1. 2 sc in first sc. 1 sc in next sc. *2 sc in next sc. 1 sc in next sc. Rep from * around. Join with sl st to first sc. 24 sc.5th rnd: As 3rd rnd.6th rnd: Ch 1. 2 sc in first sc. 1 sc 
in each of next 2 sc. *2 sc in next 
sc. 1 sc in each of next 2 sc. Rep from * around. Join with sl st to first sc. 32 sc.7th rnd: As 3rd rnd.8th rnd: Ch 1. 2 sc in first sc. 1 sc in each of next 3 sc. *2 sc in next sc. 1 sc in each of next 3 sc. Rep from * around. Join with sl st to first sc. 40 sc.9th to 16th rnds: Ch 1. 1 sc in each sc around. Join with sl st to first sc. 17th rnd: Ch 1. *1 sc in each of next 8 sc. Sc2tog. Rep from * around. Join with sl st to first sc. 36 sc.18th rnd: Ch 1. 1 sc in each st around. Join with sl st to first sc. Do not fasten off.
Attach Safety Eyes as shown in 
picture. With black embroidery floss, embroider mouth.Fill plastic egg approx halfway with dried rice or beans. Secure egg opening with tape.
Stuff Scoop, inserting egg and 
stuff around egg.Join Scoop to Cone: 1st rnd: With bottom edge of Scoop and top edge of Cone aligned, ch 1. Working through both thicknesses, work 1 rnd of sc in each ec around, inserting more stuffing as you go. Join with sl st to first sc.2nd rnd: Skip first sc. *5 dc in next sc. Skip next sc. Sl st in next sc. Skip next sc. Rep from * around. Join with sl st to first dc. Fasten off.",Bernat_Crochet_Ice_Cream_Cone_Rattle.jpg
Bernat_Plaid_Look_Crochet_Blanket,"INSTRUCTIONS
Stripe Pat
With A, work 1 row.
With B, work 1 row.
With MC, work 4 rows.
These 6 rows form Stripe Pat.
Notes:
• Ch 3 at beg of row counts as dc
• Carry MC only when not in use 
along side edge of work
• To change color, work to last 2 
loops on hook and draw new 
color through last 2 loops, then 
proceed in new colorBLANKET  
With MC, ch 53. 
1st row:  (RS). 1 dc in 4th ch from 
hook and each ch to end of chain. 
Turn. 51 dc. 
2nd row:  Ch 1. 1 sc in each dc to 
end of row. Join A. Turn. 
3rd row:  With A, ch 3. 1 dc in each 
sc to end of row. Join B. Turn.
4th row:  With B, ch 1. 1 sc in each 
dc to end of row. Join MC. Turn.  
First 2 rows of Stripe Pat are 
complete. 
Cont in Stripe Pat, rep 3rd and 4th 
rows until work from beg measures 
approx 33"" [84.5 cm], ending with 
2 rows of MC. Fasten off. 
CROCHET  I  SKILL LEVEL: EASYSUPER BULKY
6
ABBREVIATIONS
Approx = 
Approximately 
Beg = Begin(ning)
Ch = Chain(s)
Cont = Continue Dc = Double crochet 
Pat = Pattern 
Rep = Repeat
Rnd = Round 
RS = Right side Sc = Single crochet
Sl st = Slip stitch
St(s) = Stitch(es) 
WS = Wrong side",Bernat_Plaid_Look_Crochet_Blanket.jpg
Lily_Sugarn_Cream_Amigurumi_Ornaments,"INSTRUCTIONS
All Versions: Head**With MC, ch 2. 1st rnd: 6 sc in 2nd ch from hook. Join with sl st to first sc.
2nd rnd: Ch 1. 2 sc in each sc around. Join with sl st to first
sc. 12 sc.3rd rnd: Ch 1. *2 sc in next sc. 1 sc in next sc. Rep from *
around. Join with sl st to first sc. 18 sc.4th rnd: Ch 1. *2 sc in next sc. 1 sc in each of next 2 sc. Rep
from * around. Join with sl st to first sc. 24 sc.5th rnd: Ch 1. *2 sc in next sc. 1 sc in each of next 3 sc. Rep
from * around. Join with sl st to first sc. 30 sc.**6th rnd: Ch 1. 1 sc in each sc around. Join with sl st to first sc. 
Rep last rnd 6 times more.Next rnd: Ch 1. * Draw up a loop in each of next 2 sc. Yoh
and draw through all loops on hook – sc2tog made. 1 sc in
each of next 3 sc. Rep from * around. Join with sl st to first sc.24 sc.Next rnd: Ch 1. *Sc2tog over next 2 sc. 1 sc in each of next
2 sc. Rep from * around. Join with sl st to first sc. 18 sc.Stuff Head.Next rnd: Ch 1. *Sc2tog over next 2 sc. 1 sc in next sc. Rep
from * around. Join with sl st to first sc. 12 sc.Next rnd: Ch 1. *Sc2tog over next 2 sts. Rep from * around.
Join with sl st to first st. Fasten off. 6 sc.
ANGEL VERSION
HairWith A, work from ** to ** as given for Head.Next 3 rnds: Ch 1. 1 sc in each sc around. Join with sl st to
first sc.Next rnd: Ch 1. *4 dc in next sc. Miss next sc. Sl st in next
sc. Miss next sc. Rep from * to last 2 sc. 4 dc in next sc. Misslast sc. Join with sl st to first dc. Fasten off.
Halo
With B, ch 21. Join with sl st to first ch to form ring.1st rnd: Ch 1. 1 sc in each ch to end of ch. Join with sl st to
first sc. Fasten off.
FINISHING
Attach Hair to Head as shown in picture. Sew Halo to top ofHair. With black yarn, embroider eyes. With red yarn,embroider mouth. Make loop with ribbon and attach to top ofornament as shown in picture.
SANTA VERSION
HatWith A, ch 30. Join with sl st to first ch.1st rnd: Ch 2 (does not count as hdc). 1 hdc in each ch
around. Join red with sl st to first hdc.2nd rnd: Ch 1. 
Working in back loops only, 1 sc in each hdc
around. Join with sl st to first sc.3rd to 5th rnds: Ch 1. 1 sc in each sc around. Join with sl
st to first sc.6th rnd: Ch 1. *1 sc in each of next 3 sc. Sc2tog over next
2 sc. Rep from * around. Join with sl st to first sc. 24 sc.7th rnd: Ch 1. 1 sc in each st around. Join with sl st to first sc. 
8th rnd: Ch 1. *1 sc in each of next 2 sc. Sc2tog over next
2 sc. Rep from * around. Join with sl st to first sc. 18 sc.

9th rnd: As 7th rnd.
10th rnd: Ch 1. *1 sc in next sc. Sc2tog over next 2 sc. Rep
from * around. Join with sl st to first sc. 12 sc.11th rnd: As 7th rnd.
12th rnd: Ch 1. *Sc2tog over next 2 sc. Rep from * around.
Join with sl st to first sc. 6 sc.13th to 15th rnds: Ch 1. 1 sc in each st around. Join with
sl st to first sc. Fasten off at end of last rnd. Draw through remsts tightly and fasten securely. 
Pom Pom
Wrap A around 2 fingers 20 times. Remove from fingers andtie tightly in center. Cut through each side of loops. Trim to asmooth round shape. Attach pom-pom to end of Hat as shownin picture.
Beard
With A, ch 16.1st row: 1 sc in 2nd ch from hook. 1 sc in each ch to end of
ch. Turn. 15 sc.2nd row: Ch 1. 1 sc in each sc across. Turn.
3rd row: Ch 1. Sc2tog over first 2 sc. 1 sc in each sc to last
2 sc. Sc2tog over last 2 sc. Turn.Rep last row 5 times more. 3 sc at end of last row.Next row: Ch 1. Draw up a loop in each of next 3 sts. Yoh
and draw through all loops on hook – sc3tog made. Fasten
off.
FINISHING
Sew Beard and Hat to Head as shown in picture. With Blackyarn, embroider eyes. With Red yarn, embroider mouth. Makeloop with ribbon and attach to top of ornament as shown inpicture.
SNOWMAN VERSION
HatWith A, ch 2.1st rnd: 6 sc in 2nd ch from hook. Join with sl st to first sc.
2nd and 3rd rnds: Ch 1. 2 sc in each sc around. Join with
sl st to first sc. 24 sc at end of 3rd rnd.4th rnd: Ch 1. *1 sc in each sc around. Join with sl st to first sc. 
5th rnd: Ch 1. Working in back loops only, 1 sc in each sc
around. Join with sl st to first sc.6th to 9th rnds: Ch 1. 1 sc in each sc around. Join with sl
st to first sc.10th rnd: Ch 1. Working in front loops only, *2 sc in next sc.
1 sc in each of next 2 sc. Rep from * around. Join with sl st tofirst sc. 32 sc.11th rnd: Ch 1. 1 sc in each sc around. Join with sl st to first sc.
12th rnd: Ch 1. *2 sc in next sc. 1 sc in each of next 3 sc.
Rep from * around. Join with sl st to first sc. 40 sc. Fasten off.
FINISHING
Stuff Hat lightly, sew to top of Head as shown in picture.With Black yarn, embroider eyes and mouth. With Orangeyarn, embroider carrot nose. Make loop with ribbon and attachto top of ornament as shown in picture.MRS. CLAUS VERSION
HairWith A, work as given for Angel Hair.
Bun
With A, ch 2.1st rnd: 6 sc in 2nd ch from hook. Join with sl st to first sc.
2nd rnd: Ch 1. 2 sc in each sc around. Join with sl st to first
sc. 12 sc.3rd rnd: Ch 1. *2 sc in next sc. 1 sc in next sc. Rep from *
around. Join with sl st to first sc. 18 sc.4th to 6th rnds: Ch 1. 1 sc in each sc around. Join with sl
st to first sc. Fasten off at end of last rnd.Stuff Bun lightly.
FINISHING
Sew Hair to Head. Sew Bun to top of Hair as shown inpicture. With black yarn, embroider eyes. With red yarn,embroider mouth. Tie ribbon in a bow around bun as shownin picture. Make loop with ribbon and attach to top ofornament as shown in picture.",Lily_Sugarn_Cream_Amigurumi_Ornaments.jpg
Lily_Sugarn_Cream_Spiral_Crochet_Pillow,"INSTRUCTIONS
Note: Pillow is worked in a spiral.  
There are no ch worked at beg of 
rnd unless otherwise indicated; 
simply work directly into the next 
st (noting marker to indicate end 
of rnd will move up each rnd).FRONT
**Ch 4. Join with sl st to first ch to 
form ring. See diagram on page 3.  
Set-up : (3 sc. 1 hdc. Place marker 
in last hdc for end of rnd. 6 hdc) all 
in ring. 1 hdc in each sc to marked 
st (end of rnd). 10 sts.
1st rnd:  2 hdc3bl in each hdc to 
end of rnd. 20 hd3bl. 
2nd rnd:  *2 hdc3bl in next hdc3bl. 
1 hdc3bl in next hdc3bl. Rep from 
* to end of rnd. 30 hdc3bl.
3rd rnd:  *2 hdc3bl in next hdc3bl. 
(1 hdc3bl in next hdc3bl) twice. 
Rep from * around. 40 hdc3bl.",Lily_Sugarn_Cream_Spiral_Crochet_Pillow.jpg
Bernat_From_The_Middle_Crochet_Baby_Blanket,"INSTRUCTIONS
Notes:
• Ch 3 counts as dc at beg of rnd.
• Join rnds with sl st to top of ch 3.
Beg at center, ch 5. Join with sl st to first ch to form a ring.
1st rnd: Ch 3. 9 dc in ring. Join. 10 dc.
2nd rnd: Ch 4 (counts as dc and ch 1). *1 dc in next dc. 
Ch 1. Rep from * around. Join with sl st to 3rd ch of ch 4.  
10 ch-1 sps.3rd rnd: Sl st in next ch-1 sp. Ch 3. 2 dc in same sp. *3 dc in 
next ch-1 sp. Rep from * around. Join. 30 dc.
4th rnd: Ch 3. 1 dc in next dc. *Ch 2. Miss next dc. 1 dc in 
each of next 2 dc. Rep from * to last dc. Ch 2. Miss last dc. Join. 10 ch-2 sps.5th rnd: Ch 3. 1 dc in next dc. *(2 dc. Ch 2. 2 dc) – cluster 
made in next ch-2 sp. 1 dc in each of next 2 dc. Rep from * to last ch-2 sp. Cluster in last ch-2 sp. Join.
6th rnd: Sl st in each dc across to next ch-2 sp. (Ch 3. 
1 dc. Ch 2. 2 dc) in same sp – beg cluster made. *1 dc in each 
of next 2 dc. Miss next 2 dc. 1 dc in each of next 2 dc.** 
Cluster in next ch-2 sp. Rep from * to last 6 dc. Rep from * 
to **. Join.7th rnd: Beg cluster. *1 dc in each of next 3 dc. Miss next 
2 dc. 1 dc in each of next 3 dc. ** Cluster in next ch-2 sp. Rep from * to last 8 dc. Rep from * to **. Join.8th rnd: Beg cluster. *1 dc in each of next 4 dc. Miss next 
2 dc. 1 dc in each of next 4 dc.** Cluster in next ch-2 sp. Rep from * to last 10 dc. Rep from * to **. Join.
9th rnd: Beg cluster. *1 dc in each of next 5 dc. Miss next 2 dc. 
1 dc in each of next 5 dc.** Cluster in next ch-2 sp. Rep 
from * to last 12 dc. Rep from * to **. Join.
10th rnd: Beg cluster. *1 dc in each of next 6 dc. Miss next 
2 dc. 1 dc in each of next 6 dc.** Cluster in next ch-2 sp. Rep from * to last 14 dc. Rep from * to **. Join.
Cont as established, having 1 more dc between point and 
valley on each rnd, until work from center to outer point measures 20"" [51 cm]. Fasten off.
FROM THE MIDDLE BABY BLANKET  | Crochet
28500 (Twinkle Ombre) 3 balls 
Approx = Approximately.
Beg = Beginning.
Ch(s) = Chain(s).Cont = Continue(ity).Dc = Double crochet.Rep = Repeat.
Rnd(s) = Round(s).
Sl st = Slip stitch.Sp(s) = Space(s).St(s) = Stitch(es).
P .O. Box 40, Listowel ON  N4W 3H3    
“home style… life style… your style.”FROM THE MIDDLE  BABY BLANKET     1 of 1ABBREVIATIONS
www.bernat.com/abbreviations",Bernat_From_The_Middle_Crochet_Baby_Blanket.jpg
Bernat_Crossing_Paths_Crochet_Super_Scarf,"INSTRUCTIONS
Ch 22. See chart on page 2.
1st row: (RS). Skip first 3 ch (counts as dc). (Cr2dc over next 3 ch) 6 times. 
1 dc in last ch. Turn.
2nd row: Ch 1. 1 sc in each dc and ch-1 sp to end of row . Turn. 20 sc. 
3rd row: Ch 3 (coun ts as dc). (Working in back loops only, Cr2dc over next 
3 sc) 6 times. 1 dc in last sc . Turn.
4th row: As 2nd row.
Rep 3rd and 4th rows for pat until Scarf measures approx 94"" [240 cm], 
ending on a 3rd row of pat. Fasten off.
Fringe: Cut lengths of yarn 24"" [61 cm] long. Taking  
3 strands tog, knot into fringe evenly across each 
end of Scarf. Trim fringe evenly.",Bernat_Crossing_Paths_Crochet_Super_Scarf.jpg
Patons_Crochet_Blanket_Ruana,"INSTRUCTIONS
Note:  Garment is worked in one 
piece from lower Back edge to 
lower Front edges.
To change colors, work to last 2 
loops on hook of first c olor then 
draw new color through rem 
loops.Beg at lower back edge, with A, 
ch 126.
1st row: (RS). 1 sc in 2nd ch from 
hook. *Ch 1. Skip next ch. 1 sc in 
next ch. Rep from * to end of chain. 
Turn. 125 sts. 
2nd row: Ch 1. 1 sc in first sc. *1 sc in 
next ch-1 sp. Ch 1. Skip next sc. Rep from * to last sc. 1 sc in last sc. Turn.
3rd row:  With ch 1. 1 sc in first sc.
*Ch 1. Skip next sc. 1 sc in next 
ch-1 sp. Rep from * to last sc. 1 sc 
in last sc. Turn.
Note: Rep 2nd and 3rd rows for 
Body Pat throughout.
4th row: As 2nd row. Join B. Turn. 
5th row: With B, as 3rd row. Join 
C. Turn.",Patons_Crochet_Blanket_Ruana.jpg
